genome	organism	contigs	bases	tRNA	rRNA	CDS	tmRNA	repeat_region	OriginalName	Study_set	GenomeType	Sample_accession	Country	Continent	Host	Source	Disease	SamplingDate	Latitude	Longtitude	contigs_0_bp	contigs_1000_bp	contigs_5000_bp	contigs_10000_bp	contigs_25000_bp	contigs_50000_bp	Total_length_0_bp	Total_length_1000_bp	Total_length_5000_bp	Total_length_10000_bp	Total_length_25000_bp	Total_length_50000_bp	N_contigs	Largestcontig	Total_length	GC	N50	N75	L50	L75	Ns_per_100_kbp	Marker_lineage	Completeness	Contamination	Strain_heterogeneity	subdivision	lineages	letter	color
3113035	Bacteroides	316	4925055	35	NA	4058	1	2	GUT_GENOME107182	UHGG	MAG	SAMN03399883	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	316	316	223	155	62	16	4925055	4925055	4649594	4159157	2776098	1200327	316	148250	4925055	43.22	28324	13412	51	115	0	o__Bacteroidales_(UID2657)	96.73	0.93	33.33	1	lineage A	A	#cf453f
PNP_Validation_92	Bacteroides	233	4946967	15	NA	4036	NA	1	GUT_GENOME281823	UHGG	MAG	SAMEA3646762	Israel	Asia	Homo sapiens	faeces	NA	NA	NA	NA	233	233	181	140	73	26	4946967	4946967	4797878	4469085	3408166	1721938	233	122690	4946967	43.18	37456	19795	44	87	0	o__Bacteroidales_(UID2657)	96.61	0	0	1	lineage A	A	#cf453f
3986T_B_10	Bacteroides	313	5028768	96	9	4102	1	2	GCA_000598185.2_ASM59818v2_genomic.fna	Genbank	Isolate	SAMN02314537	NA	NA	NA	NA	NA	NA	NA	NA	313	239	143	118	72	30	5028768	4981935	4755741	4584240	3810589	2411622	287	231745	5018617	43.4	46869	25375	33	71	0	o__Bacteroidales_(UID2657)	98.88	0.74	100	1	lineage A	A	#cf453f
G80469	Bacteroides	51	5072263	49	NA	4202	1	2	GUT_GENOME242320	UHGG	MAG	SAMN05827130	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	51	51	47	43	34	27	5072263	5072263	5059548	5033042	4860166	4622177	51	591468	5072263	43.33	182084	113907	9	17	0	o__Bacteroidales_(UID2657)	97.77	0.37	100	1	lineage A	A	#cf453f
3986_T_B_13	Bacteroides	44	5062782	90	11	4173	1	2	GCA_000598965.1_ASM59896v1_genomic.fna	Genbank	Isolate	SAMN02314539	NA	NA	NA	NA	NA	NA	NA	NA	44	35	22	20	19	19	5062782	5058041	5030370	5015447	4999914	4999914	38	977923	5060283	43.22	378186	228694	5	9	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage A	A	#cf453f
G78716	Bacteroides	63	5094359	63	1	4276	1	3	GUT_GENOME182475	UHGG	MAG	SAMN05826769	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	63	63	49	43	33	29	5094359	5094359	5049096	5003033	4849339	4684719	63	789071	5094359	43.44	166217	107566	9	18	0	o__Bacteroidales_(UID2657)	98.88	0	0	1	lineage A	A	#cf453f
G78826	Bacteroides	202	4850145	42	2	3969	1	1	GUT_GENOME240955	UHGG	MAG	SAMN05826847	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	202	202	173	138	75	25	4850145	4850145	4757133	4498549	3492644	1762498	202	106018	4850145	43.52	38152	21495	41	82	0	o__Bacteroidales_(UID2657)	96.79	1.17	57.14	1	lineage A	A	#cf453f
G78910	Bacteroides	83	5112631	53	1	4309	1	2	GUT_GENOME241230	UHGG	MAG	SAMN05826927	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	83	83	73	71	63	41	5112631	5112631	5084570	5070740	4921909	4111379	83	381755	5112631	43.68	90522	56796	18	36	0	o__Bacteroidales_(UID2657)	99.18	0	0	1	lineage A	A	#cf453f
GUT_GENOME096063	Bacteroides	5	5116282	63	8	4213	1	2	GUT_GENOME096063	UHGG	Isolate	SAMN02463693	NA	NA	Homo sapiens	faeces	NA	NA	NA	NA	5	5	5	5	5	5	5116282	5116282	5116282	5116282	5116282	5116282	5	3253542	5116282	43.17	3253542	716030	1	2	23.45	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage A	A	#cf453f
3986_N3	Bacteroides	36	5093658	75	8	4200	1	2	GCA_000601115.1_ASM60111v1_genomic.fna	Genbank	Isolate	SAMN02314522	NA	NA	NA	NA	NA	NA	NA	NA	36	30	21	21	17	16	5093658	5090180	5067259	5067259	5003589	4955810	34	1383888	5092766	43.24	544932	215597	3	7	0	o__Bacteroidales_(UID2657)	99.26	1.67	100	1	lineage A	A	#cf453f
PNP_Main_174	Bacteroides	51	5041409	59	4	4150	1	2	GUT_GENOME267133	UHGG	MAG	SAMEA3664663	Israel	Asia	Homo sapiens	faeces	NA	NA	NA	NA	51	51	44	41	37	26	5041409	5041409	5021684	5001184	4935624	4553611	51	581022	5041409	43.34	189270	107806	8	17	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage A	A	#cf453f
3112348	Bacteroides	68	5009102	37	1	4130	NA	2	GUT_GENOME107094	UHGG	MAG	SAMN03400022	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	68	68	63	57	48	36	5009102	5009102	4998605	4948639	4795968	4322827	68	466537	5009102	43.35	126689	68248	13	27	0	o__Bacteroidales_(UID2657)	97.78	0	0	1	lineage A	A	#cf453f
3986_N_B_22	Bacteroides	31	5050706	83	12	4162	1	2	GCA_000598945.1_ASM59894v1_genomic.fna	Genbank	Isolate	SAMN02314545	NA	NA	NA	NA	NA	NA	NA	NA	31	27	19	19	18	18	5050706	5047860	5027370	5027370	5011745	5011745	30	798787	5050265	43.24	565709	275249	4	8	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage A	A	#cf453f
PNP_Validation_56	Bacteroides	100	4394638	43	1	3523	1	NA	GUT_GENOME281247	UHGG	MAG	SAMEA3646726	Israel	Asia	Homo sapiens	faeces	NA	NA	NA	NA	100	100	94	80	57	33	4394638	4394638	4371476	4261248	3849423	2934666	100	242279	4394638	43.63	64971	43571	20	41	0	o__Bacteroidales_(UID2657)	93.11	0	0	1	lineage B	B	#895b39
228_700114653	Bacteroides	271	5130448	23	NA	4183	NA	1	GUT_GENOME103222	UHGG	MAG	SAMN00083009	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	271	271	222	163	69	19	5130448	5130448	4981839	4559081	3027342	1244368	271	102073	5130448	43.09	31303	17097	53	109	0	o__Bacteroidales_(UID2657)	92.62	1.95	14.29	1	lineage B	B	#895b39
SKBSTL067	Bacteroides	87	4836522	46	2	3970	NA	1	GUT_GENOME170888	UHGG	MAG	SAMN02674605	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	87	87	82	71	51	41	4836522	4836522	4819304	4730078	4380309	3976162	87	224919	4836522	43.32	91840	58553	19	35	0	o__Bacteroidales_(UID2657)	98.68	0.19	0	1	lineage B	B	#895b39
228_700172461	Bacteroides	149	4471857	43	1	3621	1	NA	GUT_GENOME219621	UHGG	MAG	SAMN00147376	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	149	149	111	94	63	35	4471857	4471857	4391810	4268706	3721773	2754845	149	167284	4471857	43.73	61588	33270	26	51	0	o__Bacteroidales_(UID2657)	91.3	1.8	33.33	1	lineage B	B	#895b39
228_700023788	Bacteroides	292	5195900	31	NA	4255	2	1	GUT_GENOME100951	UHGG	MAG	SAMN00036351	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	292	292	245	164	68	18	5195900	5195900	5034670	4437474	2896600	1231561	292	107708	5195900	43.25	26084	14911	57	121	0	o__Bacteroidales_(UID2657)	92.49	4.05	4.17	1	lineage B	B	#895b39
3719_A10	Bacteroides	117	5245216	82	11	4305	1	1	GCA_000598845.1_ASM59884v1_genomic.fna	Genbank	Isolate	SAMN02314524	NA	NA	NA	NA	NA	NA	NA	NA	117	107	73	59	46	34	5245216	5238431	5159620	5056919	4845404	4403250	114	349293	5244125	43.27	135120	69781	13	27	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage B	B	#895b39
